IncidentId,UnitNumber,Factor_Type,Factor,
31588409,1,ENVIRON FACTOR,02,
31588409,2,ENVIRON FACTOR,02,
31592245,1,ENVIRON FACTOR,02,
31592245,1,ENVIRON FACTOR,03,
31592245,2,ENVIRON FACTOR,02,
31592245,2,ENVIRON FACTOR,03,
31593657,1,ENVIRON FACTOR,02,
31593657,2,ENVIRON FACTOR,02,
31593657,3,ENVIRON FACTOR,02,
31593657,4,ENVIRON FACTOR,02,
31593659,1,ENVIRON FACTOR,02,
31593659,2,ENVIRON FACTOR,02,
31593659,3,ENVIRON FACTOR,02,
31593659,4,ENVIRON FACTOR,02,
31594912,1,ENVIRON FACTOR,02,
31594912,1,ENVIRON FACTOR,10,
31595007,1,ENVIRON FACTOR,02,
31595007,2,ENVIRON FACTOR,02,
31595611,1,ENVIRON FACTOR,02,
31598946,1,ENVIRON FACTOR,02,
31598946,2,ENVIRON FACTOR,02,
31598946,3,ENVIRON FACTOR,02,
31598946,4,ENVIRON FACTOR,02,
31598946,5,ENVIRON FACTOR,02,
31602865,1,ENVIRON FACTOR,02,
31602865,1,ENVIRON FACTOR,97,
31605265,1,ENVIRON FACTOR,09,
31605265,2,ENVIRON FACTOR,02,
31605287,1,ENVIRON FACTOR,02,
31605287,2,ENVIRON FACTOR,99,
31605296,1,ENVIRON FACTOR,99,
31605296,2,ENVIRON FACTOR,02,
31605645,1,ENVIRON FACTOR,17,
31605645,1,ENVIRON FACTOR,02,
31605645,2,ENVIRON FACTOR,17,
31605645,2,ENVIRON FACTOR,02,
31606386,1,ENVIRON FACTOR,02,
31606386,2,ENVIRON FACTOR,02,
31609340,1,ENVIRON FACTOR,02,
31609340,2,ENVIRON FACTOR,99,
31610123,1,ENVIRON FACTOR,02,
31610123,2,ENVIRON FACTOR,02,
31613215,1,ENVIRON FACTOR,02,
31613215,2,ENVIRON FACTOR,02,
31613462,1,ENVIRON FACTOR,02,
31613462,2,ENVIRON FACTOR,02,
31613850,1,ENVIRON FACTOR,02,
31613850,2,ENVIRON FACTOR,02,
31614492,1,ENVIRON FACTOR,02,
31614492,2,ENVIRON FACTOR,17,
31614492,2,ENVIRON FACTOR,02,
31617145,1,ENVIRON FACTOR,02,
31617145,2,ENVIRON FACTOR,02,
31619018,1,ENVIRON FACTOR,02,
31619307,1,ENVIRON FACTOR,02,
31619308,1,ENVIRON FACTOR,02,
31619308,2,ENVIRON FACTOR,02,
31619308,3,ENVIRON FACTOR,02,
31623134,1,ENVIRON FACTOR,02,
31623594,1,ENVIRON FACTOR,02,
31624988,1,ENVIRON FACTOR,02,
31624988,2,ENVIRON FACTOR,02,
31624988,3,ENVIRON FACTOR,02,
31624988,4,ENVIRON FACTOR,02,
31626302,1,ENVIRON FACTOR,17,
31626302,1,ENVIRON FACTOR,02,
31628511,2,ENVIRON FACTOR,02,
31628511,3,ENVIRON FACTOR,02,
31628511,1,ENVIRON FACTOR,02,
31629524,1,ENVIRON FACTOR,02,
31629524,1,ENVIRON FACTOR,09,
