IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
30026111,1,1,1,NOT INSTALLED,
30026111,2,3,1,INSTALLED/NOT DEPLOYED,
30026606,1,1,1,INSTALLED/NOT DEPLOYED,
30026606,2,2,1,DEPLOYED-FRONT,
30026606,2,3,1,DEPLOYED-FRONT,
30026606,2,4,1,DEPLOYED-FRONT,
30028255,1,1,1,DEPLOYED-FRONT,
30029904,1,1,1,INSTALLED/NOT DEPLOYED,
30029904,2,2,1,INSTALLED/NOT DEPLOYED,
30029904,2,3,1,INSTALLED/NOT DEPLOYED,
30029904,2,4,1,INSTALLED/NOT DEPLOYED,
30029904,2,5,1,INSTALLED/NOT DEPLOYED,
30029904,2,6,1,INSTALLED/NOT DEPLOYED,
30032698,1,1,1,INSTALLED/NOT DEPLOYED,
30032698,1,2,1,NOT INSTALLED,
30032698,1,3,1,NOT INSTALLED,
30032698,2,4,1,INSTALLED/NOT DEPLOYED,
30036202,1,1,1,INSTALLED/NOT DEPLOYED,
30038575,2,1,1,INSTALLED/NOT DEPLOYED,
30038575,3,3,1,INSTALLED/NOT DEPLOYED,
30038575,3,4,1,INSTALLED/NOT DEPLOYED,
30038575,3,5,1,INSTALLED/NOT DEPLOYED,
30038575,3,6,1,INSTALLED/NOT DEPLOYED,
30041229,1,1,1,NOT INSTALLED,
30041229,2,2,1,INSTALLED/NOT DEPLOYED,
30044018,2,1,1,INSTALLED/NOT DEPLOYED,
30045407,1,1,1,INSTALLED/NOT DEPLOYED,
30045407,1,2,1,INSTALLED/NOT DEPLOYED,
30045407,2,3,1,INSTALLED/NOT DEPLOYED,
30045407,2,4,1,INSTALLED/NOT DEPLOYED,
30048206,1,1,1,NOT INSTALLED,
30050446,1,1,1,DEPLOYED-FRONT,
30050446,1,2,1,DEPLOYED-FRONT,
30050446,2,3,1,INSTALLED/NOT DEPLOYED,
30050446,3,4,1,INSTALLED/NOT DEPLOYED,
30050449,1,1,1,INSTALLED/NOT DEPLOYED,
30050449,2,3,1,INSTALLED/NOT DEPLOYED,
30053363,1,1,1,INSTALLED/NOT DEPLOYED,
30054168,1,1,1,INSTALLED/NOT DEPLOYED,
30054216,1,1,1,INSTALLED/NOT DEPLOYED,
30054216,2,3,1,NOT INSTALLED,
30054850,2,1,1,INSTALLED/NOT DEPLOYED,
30054853,1,1,1,NOT INSTALLED,
30054853,2,3,1,INSTALLED/NOT DEPLOYED,
30055685,1,1,1,DEPLOYED-FRONT,
30055685,2,3,1,INSTALLED/NOT DEPLOYED,
30055685,2,4,1,INSTALLED/NOT DEPLOYED,
30055985,1,1,1,INSTALLED/NOT DEPLOYED,
30055985,2,2,1,INSTALLED/NOT DEPLOYED,
30057706,1,1,1,DEPLOYED-COMBINATION,
30057706,1,1,2,DEPLOYED-CURTAIN,
30057706,2,2,1,INSTALLED/NOT DEPLOYED,
30057706,3,4,1,INSTALLED/NOT DEPLOYED,
30059359,1,1,1,INSTALLED/NOT DEPLOYED,
30059359,2,2,1,INSTALLED/NOT DEPLOYED,
30059538,1,1,1,INSTALLED/NOT DEPLOYED,
30059538,2,2,1,INSTALLED/NOT DEPLOYED,
30060604,1,1,1,INSTALLED/NOT DEPLOYED,
30060604,2,3,1,INSTALLED/NOT DEPLOYED,
30060604,2,4,1,INSTALLED/NOT DEPLOYED,
30060606,1,1,1,DEPLOYED-CURTAIN,
30060606,1,1,2,DEPLOYED-FRONT,
30060606,2,2,1,DEPLOYED-FRONT,
30060650,1,1,1,INSTALLED/NOT DEPLOYED,
30060650,1,2,1,INSTALLED/NOT DEPLOYED,
30060650,2,3,1,INSTALLED/NOT DEPLOYED,
30060650,2,4,1,INSTALLED/NOT DEPLOYED,
30060931,1,1,1,INSTALLED/NOT DEPLOYED,
30060931,1,2,1,INSTALLED/NOT DEPLOYED,
30060931,2,3,1,INSTALLED/NOT DEPLOYED,
30060931,2,4,1,INSTALLED/NOT DEPLOYED,
30061409,1,1,1,INSTALLED/NOT DEPLOYED,
30061409,1,2,1,INSTALLED/NOT DEPLOYED,
30061409,1,3,1,INSTALLED/NOT DEPLOYED,
30061409,2,4,1,NOT INSTALLED,
30062040,1,1,1,INSTALLED/NOT DEPLOYED,
30062040,2,2,1,INSTALLED/NOT DEPLOYED,
30062040,2,3,1,INSTALLED/NOT DEPLOYED,
30062040,2,4,1,INSTALLED/NOT DEPLOYED,
30062040,2,5,1,INSTALLED/NOT DEPLOYED,
30062046,1,1,1,INSTALLED/NOT DEPLOYED,
30062046,2,3,1,INSTALLED/NOT DEPLOYED,
30063283,1,1,1,INSTALLED/NOT DEPLOYED,
30063514,1,1,1,INSTALLED/NOT DEPLOYED,
30063863,2,1,1,INSTALLED/NOT DEPLOYED,
30064216,1,1,1,INSTALLED/NOT DEPLOYED,
30064216,2,3,1,INSTALLED/NOT DEPLOYED,
30064587,2,1,1,INSTALLED/NOT DEPLOYED,
30064587,2,2,1,INSTALLED/NOT DEPLOYED,
30065345,1,1,1,INSTALLED/NOT DEPLOYED,
