IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
30182629,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,FORD,FIE,4 DOOR,FORD,FIESTA,
30179445,1,PASSENGER CAR,01,False,,DI,05,,False,03,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30176686,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,False,MAZD,MZ3,4 DOOR,MAZDA,MAZDA 3,
30195539,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,KIA,,4 DOOR,KIA MOTORS CORPORATION,GT,
29750595,4,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,MERZ,E30,4 DOOR,MERCEDES-BENZ,E300 E300 4MATIC,
29589574,1,PASSENGER CAR,03,False,,DI,08,,False,05,01,True,HOND,CIV,4 DOOR,HONDA,CIVIC,
29604683,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,ACUR,ATL,4 DOOR,ACURA,TL,
29638037,1,PASSENGER CAR,03,False,,DI,20,31,False,05,01,True,KIA,RIO,4 DOOR,KIA MOTORS CORPORATION,RIO,
29726502,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,MERZ,E30,4 DOOR,MERCEDES-BENZ,E300 E300 4MATIC,
30179550,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
